itemid, orderid,productid,quantity,productname
1 , 1 , 61 , 1.0 , Brooklyn Bagel 6 pack
2 , 1 , 37 , 1.0 , Uggo Waffles
3 , 1 , 69 , 1.0 , Ball Park Mustard
4 , 1 , 8 , 1.0 , banana
5 , 1 , 67 , 1.0 , Mom's Old Fashioned Mayo
6 , 1 , 52 , 1.0 , Porky Pig Smoked Ham
7 , 1 , 43 , 1.0 , T-bone steak
8 , 1 , 65 , 1.0 , Mr Peanut Peanut Oil
9 , 1 , 37 , 1.0 , Uggo Waffles
10 , 1 , 79 , 1.0 , Devil's Delight Blazing Hot Sauasage
11 , 2 , 78 , 1.0 , Jasper's Pizza Sauce
12 , 2 , 81 , 1.0 , Pivotal Extra Stength Aspirin
13 , 2 , 43 , 1.0 , T-bone steak
14 , 2 , 79 , 1.0 , Devil's Delight Blazing Hot Sauasage
15 , 2 , 61 , 1.0 , Brooklyn Bagel 6 pack
16 , 3 , 56 , 1.0 , Mom's Potato Salad
17 , 3 , 70 , 1.0 , Homer's Strawberry Jam
18 , 3 , 7 , 1.0 , pink lady
19 , 3 , 24 , 1.0 , seedless watermelon
20 , 3 , 54 , 1.0 , Vermonter Mild Cheddar
21 , 3 , 45 , 1.0 , Porky Pig Big Chops
22 , 3 , 70 , 1.0 , Homer's Strawberry Jam
23 , 3 , 19 , 1.0 , dole pineapple
24 , 3 , 34 , 1.0 , Pivotal Small Frozen Peas
25 , 3 , 17 , 1.0 , napa
26 , 3 , 31 , 1.0 , Free Range Extra Large
27 , 3 , 3 , 1.0 , Chateau Potomac Water
28 , 3 , 76 , 1.0 , Happy Valley White Peaches
29 , 3 , 70 , 1.0 , Homer's Strawberry Jam
30 , 3 , 56 , 1.0 , Mom's Potato Salad
31 , 3 , 11 , 1.0 , white eggplant
32 , 3 , 69 , 1.0 , Ball Park Mustard
33 , 3 , 16 , 1.0 , Honeydew
34 , 3 , 22 , 1.0 , triple wahsed spinach
35 , 4 , 41 , 1.0 , 12 inch Dinner Plates
36 , 4 , 37 , 1.0 , Uggo Waffles
37 , 4 , 67 , 1.0 , Mom's Old Fashioned Mayo
38 , 4 , 12 , 1.0 , fennel
39 , 4 , 32 , 1.0 , Vermot Extra Sharp Cheddar
40 , 4 , 40 , 1.0 , Husky Paper towels
41 , 4 , 56 , 1.0 , Mom's Potato Salad
42 , 4 , 77 , 1.0 , Pivotal Baked Beans
43 , 4 , 51 , 1.0 , Elmer's Roast Beef
44 , 4 , 59 , 1.0 , Zabar's Old Fahsioned Rye
45 , 4 , 48 , 1.0 , Porky Pig Everloving Bacon
46 , 4 , 3 , 1.0 , Chateau Potomac Water
47 , 4 , 1 , 1.0 , Pivotal Apple Juice
