storeid,storename,street,city,state,zipcode,longitude,latitude
1,PivotalMarket,402 Shasta Junction,San Diego,California,92191,-116.846,33.0169
2,PivotalMarket,87 Debs Avenue,Pasadena,California,91199,-118.1436,34.1478
3,PivotalMarket,7387 Brickson Park Alley,Huntington Beach,California,92648,-118.0051,33.6773
4,PivotalMarket,73 Anniversary Trail,Los Angeles,California,90015,-118.2716,34.0434
5,PivotalMarket,319 Mifflin Center,Visalia,California,93291,-119.301,36.3551
6,PivotalMarket,65 Eastwood Parkway,Visalia,California,93291,-119.301,36.3551
7,PivotalMarket,3859 Coolidge Point,Sacramento,California,94273,-121.4444,38.3774
8,PivotalMarket,9 Dakota Hill,Sacramento,California,95813,-121.4475,38.6026
9,PivotalMarket,8716 Rockefeller Crossing,Los Angeles,California,90071,-118.2549,34.0529
10,PivotalMarket,43 Village Green Parkway,Orange,California,92867,-117.8493,33.811
11,PivotalMarket,733 Novick Point,Fresno,California,93715,-119.6397,36.7464
12,PivotalMarket,263 Holmberg Avenue,Bakersfield,California,93399,-119.0679,35.4369
13,PivotalMarket,46 Forest Plaza,San Francisco,California,94164,-122.7278,37.7848
14,PivotalMarket,3738 Golf View Terrace,Bakersfield,California,93386,-118.9052,35.2944
15,PivotalMarket,370 Del Sol Road,Fresno,California,93740,-119.6397,36.7464
16,PivotalMarket,37776 South Road,Anaheim,California,92805,-117.9086,33.8359
17,PivotalMarket,4009 Stoughton Crossing,San Francisco,California,94147,-122.7278,37.7848
18,PivotalMarket,892 Waubesa Place,Los Angeles,California,90189,-118.2559,34.0515
19,PivotalMarket,494 Hoffman Trail,Los Angeles,California,90025,-118.4487,34.0447
20,PivotalMarket,599 Aberg Way,Whittier,California,90610,-118.2987,33.7866
21,PivotalMarket,9971 Meadow Valley Park,Mountain View,California,94042,-121.7053,37.1894
22,PivotalMarket,45134 Sunfield Terrace,San Diego,California,92137,-117.1197,32.8538
23,PivotalMarket,398 Pennsylvania Center,Fresno,California,93773,-119.6397,36.7464
24,PivotalMarket,6 Katie Center,Glendale,California,91210,-118.2987,33.7866
25,PivotalMarket,8234 Park Meadow Point,Whittier,California,90605,-118.0356,33.9413
26,PivotalMarket,93504 Westport Junction,San Francisco,California,94116,-122.4863,37.7441
27,PivotalMarket,83 Lerdahl Crossing,Sacramento,California,94207,-121.4444,38.3774
28,PivotalMarket,263 Sycamore Center,San Diego,California,92170,-116.846,33.0169
29,PivotalMarket,99609 Monterey Terrace,Berkeley,California,94712,-121.9215,37.6802
30,PivotalMarket,6 Weeping Birch Park,Pomona,California,91797,-118.2987,33.7866
31,PivotalMarket,05386 Westport Terrace,Petaluma,California,94975,-122.99,38.4631
32,PivotalMarket,59 Melrose Way,Los Angeles,California,90094,-118.417,33.9754
33,PivotalMarket,36 Beilfuss Crossing,Pasadena,California,91186,-118.2987,33.7866
34,PivotalMarket,95555 Upham Hill,Moreno Valley,California,92555,-117.1851,33.9377
35,PivotalMarket,55975 Meadow Ridge Street,Los Angeles,California,90035,-118.3806,34.0531
36,PivotalMarket,18 Acker Avenue,Inglewood,California,90305,-118.3258,33.9583
37,PivotalMarket,5 Melody Drive,Sacramento,California,95838,-121.444,38.6406
38,PivotalMarket,75391 Del Mar Plaza,Berkeley,California,94705,-122.25,37.8571
